"Sample","n_nuclei","mean_nCount","median_nCount","mean_nFeature","median_nFeature","mean_percent_mt","median_percent_mt"
"CLRN1 KO",3058,2692.45389143231,1552.5,1279.0444735121,952,0.407210720294546,0.115107923201319
"WT",3484,1985.07979334099,1175.5,1014.98335246843,759,0.378691505696101,0.113701003206123
