"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
231.368986308221,1.79274540085056,0.183331615187983,9.77870292045555,1.38980156434652e-22,8.87249318678816e-19,"HSP90AB1"
216.98004413586,1.73434767448387,0.191847396243888,9.04024609371847,1.56319497102518e-19,4.98971834751236e-16,"ALDOC"
98.061855107228,2.07211302385241,0.259595783466027,7.98207504061245,1.43893500707067e-15,3.06205369504639e-12,"SPARCL1"
204.126513464083,1.46949426609358,0.186889554019102,7.86290209640814,3.75334369533946e-15,5.99033653776177e-12,"HSP90AA1"
64.3099765791802,2.27995321733292,0.294295282343795,7.74716196323353,9.39690690770169e-15,1.19979707397535e-11,"ENSOCUG00000021647"
277.358207588137,1.37718218353676,0.180352903268216,7.63604110929476,2.24002825861661e-14,2.38339006716807e-11,"HSP90B1"
276.788545560102,1.45801468650174,0.20419581804315,7.14027691886242,9.31430809852148e-13,8.49464898585159e-10,"LDHA"
151.559519076404,1.45300929551342,0.204905953604002,7.09110335720884,1.33046927539594e-12,1.06171448176596e-09,"ATP1B1"
263.676202574739,1.20977735657702,0.172952144918562,6.99486761003552,2.6550952641036e-12,1.88334757400415e-09,"ENSOCUG00000015533"
207.938990207075,1.48247145649085,0.217480422659523,6.81657428453565,9.32370264376496e-12,5.95225176777955e-09,"CALM1"
66.5924552973912,1.79887191032596,0.276050170066419,6.51646731423184,7.19824858013341e-11,4.17760172141561e-08,"ENSOCUG00000014726"
124.238632092423,1.5786046494509,0.243936257977332,6.47138175579292,9.71107374682627e-11,5.16629123331157e-08,"ALDOA"
95.5392108286425,1.589758277773,0.246280740560324,6.45506536222068,1.08172205036707e-10,5.31208736118721e-08,"ENSOCUG00000022657"
332.68822474883,1.21643731892796,0.196838640335701,6.17987056227054,6.41541791809964e-10,2.92543057065344e-07,"ENSOCUG00000010086"
235.968018941024,1.13981024247134,0.185399632982697,6.14785598080295,7.85372932007764e-10,3.34254719862505e-07,"ITM2B"
76.1440621836357,1.84447146581187,0.30667933062495,6.01433250181292,1.80629422047638e-09,7.20711393970076e-07,"SCG2"
88.7163014177096,1.52774931317784,0.254733708199374,5.99743678988142,2.00456352993535e-09,7.52772563241605e-07,"SERPINI1"
91.7580347434176,1.58825722475666,0.266442283327449,5.96098038540205,2.50729065590142e-09,8.89252419293037e-07,"ENSOCUG00000039349"
170.890019166331,1.19205674811228,0.202869618617368,5.87597470846838,4.20362506450403e-09,1.41241802167335e-06,"ENSOCUG00000017968"
48.285370518689,1.76371722409017,0.303180876666632,5.81737622597318,5.97784950385796e-09,1.90812956163146e-06,"TUBB"
118.508728801443,1.3192622503164,0.228447243737964,5.77490990361711,7.69942724771189e-09,2.34062588330442e-06,"ENSOCUG00000016662"
5933.02852580471,0.722074459709653,0.126161625939258,5.72340800408919,1.04408115380085e-08,3.02973367539302e-06,"ENSOCUG00000032298"
108.898116487684,1.41608444273876,0.250247418499837,5.6587374656162,1.52490613726047e-08,4.17815366426364e-06,"TUBB2A"
71.6773616238138,1.50518806395816,0.266232849185435,5.65365268997957,1.57073446024949e-08,4.17815366426364e-06,"AMDHD2"
155.947265222939,1.23078553859645,0.226420299051202,5.43584450578844,5.45375008090285e-08,1.39266962065935e-05,"ENSOCUG00000002510"
103.622473055199,1.24764207276495,0.23055339946313,5.41151019967708,6.24954340569549e-08,1.53450327315231e-05,"TUBA1B"
38.384238743639,1.98374325853891,0.367047568468448,5.40459446936626,6.49551823898544e-08,1.53582920139567e-05,"TAC1"
179.771867470312,1.05622605011646,0.197737760770573,5.3415495654467,9.21554105018748e-08,2.10114335944275e-05,"CALM2"
206.360308863283,0.969445589986338,0.181829892316852,5.33160734813068,9.73472477489226e-08,2.1429821711349e-05,"ATP6V0A1"
47.4545215251141,1.81498936878009,0.342890723618883,5.29320055563071,1.20193979289924e-07,2.55772787928958e-05,"ENSOCUG00000032372"
92.3213256996037,1.24530125285567,0.235794505314212,5.28129886316145,1.28271251030931e-07,2.64156021477891e-05,"ACTG1"
99.6326910190342,1.26506346240065,0.239818331623497,5.27509074821994,1.32690410141985e-07,2.6471736823326e-05,"ACTB"
167.495611586638,1.02160337670597,0.194104829669423,5.26315279452785,1.41605797625683e-07,2.73942852134049e-05,"ENSOCUG00000032417"
53.8042023212159,1.52520610456195,0.293049937306528,5.20459454310204,1.94420624566165e-07,3.65053313891294e-05,"TAGLN3"
84.3496709611531,1.25349283828288,0.24229392333893,5.17343902401317,2.29824146650967e-07,4.19199243491363e-05,"PEBP1"
56.5458124537973,1.40917346141789,0.274707199411616,5.12972890567173,2.90159739949218e-07,4.87468363114686e-05,"ENSOCUG00000006119"
205.577945780544,1.01366577618505,0.197274794630565,5.13834409552086,2.7717000874354e-07,4.87468363114686e-05,"CANX"
20.4381662282426,2.60726666209692,0.508063344137531,5.1317747918282,2.87022801276883e-07,4.87468363114686e-05,"CRABP1"
63.0960644107993,1.40980911407267,0.278510084168021,5.06196792939876,4.14950838192621e-07,6.79242602826075e-05,"ARL6IP1"
92.266220470832,1.30916844862944,0.25999268727539,5.03540488907191,4.76839847794407e-07,7.61036397079874e-05,"CHGB"
90.9794583332571,1.15817049389646,0.241200873630962,4.80168449003407,1.57336458044343e-06,0.000244984377598801,"ENSOCUG00000025023"
224.712197834781,0.969808978538676,0.20264789528805,4.78568492981464,1.70405199350378e-06,0.000259015903012575,"BTBD8"
28.6407011538587,1.87323546848145,0.395430364406284,4.73720694487893,2.16683867251401e-06,0.000321699955472778,"NOLC1"
124.73913061271,0.987509370585526,0.213009688427628,4.63598335772902,3.55244549363905e-06,0.000515427546167992,"ENSOCUG00000029489"
31.3382687360111,1.6628257395766,0.359396504106304,4.62671651108985,3.71508472118365e-06,0.000527046685778588,"B4GAT1"
34.1625485525264,1.61473706546654,0.350389020734238,4.60841227868061,4.05755494772106e-06,0.00056311806057068,"PCSK1N"
97.1018090352678,1.13695681900176,0.247411372256745,4.59541050450145,4.31898138102502e-06,0.000586646322052419,"PDIA3"
63.1334645468761,1.22714694635386,0.268401321191784,4.5720600066533,4.82952578880644e-06,0.000629218217055924,"VPS35"
37.6287424759698,1.5421382303953,0.337006121645777,4.57599471150327,4.73962517327824e-06,0.000629218217055924,"TUBB3"
42.8722905315231,1.63996432849623,0.359066785800022,4.56729609463124,4.94055889899355e-06,0.000630810560223497,"CALY"
61.0176592836594,1.21959685949333,0.26758271096367,4.55783131541304,5.1684520423371e-06,0.000646968585064314,"HSPA5"
68.0509530324332,1.14372189893394,0.252281463122241,4.53351540291235,5.8010033853388e-06,0.000712184723307748,"GAPDH"
198.741673041897,0.800579679222211,0.178475941899839,4.48564479167449,7.26937606251195e-06,0.000843776305146842,"MATR3"
54.3745928710137,1.39350780398708,0.310504977271542,4.48787589890526,7.19368107420904e-06,0.000843776305146842,"MARCKS"
68.5284063676576,1.27598169446731,0.28420686720757,4.48962302355419,7.13493307145302e-06,0.000843776305146842,"PACSIN1"
113.564602506043,0.989670170601817,0.221164373791087,4.47481732087946,7.64766704913963e-06,0.000871834043601918,"SERINC1"
44.5281894032531,1.44125176536646,0.324222039341036,4.44526155068215,8.77850005329615e-06,0.000983192005969169,"HSPD1"
1006.57354075708,-0.67279007689928,0.151689938331306,-4.43529797889324,9.19450204422994e-06,0.00101202932845455,"MACROD2"
90.6204652483712,1.02220083341555,0.230728879565209,4.43031160790021,9.40970202681997e-06,0.00101816165659693,"NCL"
21.6502861929024,1.89578028265567,0.430746246837193,4.40115333929354,1.07676993014133e-05,0.00114568320567038,"NPY"
56.7709915700845,1.34534063572768,0.307137171473331,4.38025989910017,1.18537840938048e-05,0.00124056651893196,"CLU"
64.3774195889654,1.21381802679126,0.278507280737485,4.35829908495417,1.31077176682347e-05,0.00134967209022597,"YWHAB"
14.3535503402504,2.37605695818777,0.550129607761255,4.31908576572909,1.56676890076476e-05,0.00158765915277496,"UCHL1"
24.2135198334641,1.78173225810895,0.414784844009922,4.29555776648948,1.74254652613052e-05,0.00173819015981519,"ENSOCUG00000021400"
24.6080803624233,1.78600595538164,0.420470543920173,4.24763632365343,2.16037710270124e-05,0.00212182268056073,"TUBB4A"
52.1238172512462,-1.24739579436799,0.295566311198391,-4.22035850199012,2.43914116100301e-05,0.00235931472300655,"SPAG16"
56.8611964869642,1.18637637139785,0.281975045365437,4.20738072711476,2.58347679883272e-05,0.00246162923638031,"PPP2R1A"
33.2767783757294,1.47310975607493,0.350810996760668,4.19915501417397,2.67912871015393e-05,0.0025152290714151,"MAPT"
101.393589572088,0.924190737851431,0.220868944551849,4.18433990222865,2.85995918896562e-05,0.00264608398005167,"CHD4"
39.8828387240455,1.32944517576277,0.318763347938622,4.17063374556712,3.03753718408327e-05,0.00277023391188394,"PCBP1"
30.6001496152181,1.70258458523302,0.41229770111666,4.12950297957463,3.63548291595667e-05,0.00317930451170786,"ANO5"
